v2a1,hacdor,rooms,hacapo,v14a,refrig,v18q,v18q1,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,tamhog,tamviv,escolari,rez_esc,hhsize,wall_material,floor_material,roof_material,water_provision,toilet_type,cooking_energy,waste_disposal_method,wall_condition,floor_condition,roof_condition,marital_status,family_role,child_ratio,adult_ratio,elder_ratio,education,housing_ownership,electronics,qmobilephone,region,area1,area2,age,SQBescolari,SQBage,SQBhogar_total,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBdependency,SQBmeaned,Target
80000.0,0,4,0,1,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,8,0.0,3,5,6,1,1,3,3,1,1,1,2,7,3,0.3333333333333333,0.6666666666666666,0.0,3,3,2,2,1,1,0,15,64,225,9,64,1,2.25,0.25,49.0,4
80000.0,0,4,0,1,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,8,0.4597912829957029,3,5,6,1,1,3,3,1,1,1,2,2,1,0.3333333333333333,0.6666666666666666,0.0,3,3,2,2,1,1,0,37,64,1369,9,64,1,2.25,0.25,49.0,4
90000.0,0,5,0,1,1,1,1.0,0,1,1,0,1,1,0,2,2,2,2,9,0.4597912829957029,2,5,6,1,1,2,3,1,2,3,3,5,1,0.0,1.0,0.0,3,3,2,2,1,1,0,44,81,1936,4,0,0,1.0,0.0,121.0,4
90000.0,0,5,0,1,1,1,1.0,0,1,1,0,1,1,0,2,2,2,2,13,0.4597912829957029,2,5,6,1,1,2,3,1,2,3,3,7,3,0.0,1.0,0.0,7,3,2,2,1,1,0,24,169,576,4,0,0,1.0,0.0,121.0,4
120000.0,0,5,0,1,1,0,0.0,0,1,1,1,2,3,1,3,4,4,4,2,0.0,4,3,2,1,1,2,3,1,2,2,3,1,3,0.5,0.5,0.0,1,3,2,2,1,1,0,8,4,64,16,121,4,4.0,1.0,121.0,2
120000.0,0,5,0,1,1,0,0.0,0,1,1,1,2,3,1,3,4,4,4,11,0.4597912829957029,4,3,2,1,1,2,3,1,2,2,3,2,2,0.5,0.5,0.0,4,3,2,2,1,1,0,44,121,1936,16,121,4,4.0,1.0,121.0,2
120000.0,0,5,0,1,1,0,0.0,0,1,1,1,2,3,1,3,4,4,4,8,0.0,4,3,2,1,1,2,3,1,2,2,3,7,3,0.5,0.5,0.0,3,3,2,2,1,1,0,14,64,196,16,121,4,4.0,1.0,121.0,2
120000.0,0,5,0,1,1,0,0.0,0,1,1,1,2,3,1,3,4,4,4,11,0.4597912829957029,4,3,2,1,1,2,3,1,2,2,3,2,1,0.5,0.5,0.0,4,3,2,2,1,1,0,42,121,1764,16,121,4,4.0,1.0,121.0,2
168000.0,0,5,0,1,1,0,0.0,1,1,2,0,2,2,1,3,4,4,4,6,0.0,4,1,1,1,1,2,2,1,3,3,3,7,3,0.5,0.5,0.0,2,3,2,2,1,1,0,13,36,169,16,0,4,1.7777778999999998,1.0,81.0,4
168000.0,0,5,0,1,1,0,0.0,1,1,2,0,2,2,1,3,4,4,4,2,1.0,4,1,1,1,1,2,2,1,3,3,3,7,3,0.5,0.5,0.0,1,3,2,2,1,1,0,10,4,100,16,0,4,1.7777778999999998,1.0,81.0,4
168000.0,0,5,0,1,1,0,0.0,1,1,2,0,2,2,1,3,4,4,4,7,0.4597912829957029,4,1,1,1,1,2,2,1,3,3,3,5,1,0.5,0.5,0.0,3,3,2,2,1,1,0,37,49,1369,16,0,4,1.7777778999999998,1.0,81.0,4
168000.0,0,5,0,1,1,0,0.0,1,1,2,0,2,2,1,3,4,4,4,11,0.4597912829957029,4,1,1,1,1,2,2,1,3,3,3,5,12,0.5,0.5,0.0,4,3,2,2,1,1,0,36,121,1296,16,0,4,1.7777778999999998,1.0,81.0,4
40000.0,0,1,0,0,0,0,0.0,0,1,1,0,0,0,0,1,1,1,1,7,0.4597912829957029,1,5,6,1,2,1,3,1,3,3,3,7,1,0.0,1.0,1.0,3,3,3,0,1,1,0,71,49,5041,1,49,0,1.0,64.0,49.0,2
155000.0,0,3,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,14,0.4597912829957029,2,1,1,1,1,2,2,1,3,3,3,2,1,0.0,1.0,0.0,7,3,2,2,1,1,0,30,196,900,4,0,0,4.0,0.0,100.0,4
155000.0,0,3,0,1,1,0,0.0,0,1,1,0,1,1,0,2,2,2,2,6,0.4597912829957029,2,1,1,1,1,2,2,1,3,3,3,2,2,0.0,1.0,0.0,2,3,2,2,1,1,0,29,36,841,4,0,0,4.0,0.0,100.0,4
200000.0,0,3,0,1,1,0,0.0,1,1,2,1,2,3,2,3,5,5,5,9,0.4597912829957029,5,1,1,1,1,2,2,1,2,2,2,2,2,0.4,0.6,0.0,3,3,2,5,1,1,0,30,81,900,25,81,4,6.25,0.44444448,81.0,4
200000.0,0,3,0,1,1,0,0.0,1,1,2,1,2,3,2,3,5,5,5,5,0.0,5,1,1,1,1,2,2,1,2,2,2,7,3,0.4,0.6,0.0,1,3,2,5,1,1,0,11,25,121,25,81,4,6.25,0.44444448,81.0,4
200000.0,0,3,0,1,1,0,0.0,1,1,2,1,2,3,2,3,5,5,5,0,0.4597912829957029,5,1,1,1,1,2,2,1,2,2,2,1,3,0.4,0.6,0.0,0,3,2,5,1,1,0,1,0,1,25,81,4,6.25,0.44444448,81.0,4
200000.0,0,3,0,1,1,0,0.0,1,1,2,1,2,3,2,3,5,5,5,9,0.4597912829957029,5,1,1,1,1,2,2,1,2,2,2,2,1,0.4,0.6,0.0,3,3,2,5,1,1,0,29,81,841,25,81,4,6.25,0.44444448,81.0,4
200000.0,0,3,0,1,1,0,0.0,1,1,2,1,2,3,2,3,5,5,5,9,0.4597912829957029,5,1,1,1,1,2,2,1,2,2,2,7,7,0.4,0.6,0.0,3,3,2,5,1,1,0,60,81,3600,25,81,4,6.25,0.44444448,81.0,4
350000.0,0,6,0,1,1,1,3.0,0,1,1,0,2,2,0,3,3,3,3,16,0.4597912829957029,3,1,1,1,1,2,2,1,3,3,3,3,1,0.3333333333333333,0.6666666666666666,0.0,7,2,2,4,1,1,0,57,256,3249,9,256,1,1.0,0.25,272.25,4
350000.0,0,6,0,1,1,1,3.0,0,1,1,0,2,2,0,3,3,3,3,10,0.0,3,1,1,1,1,2,2,1,3,3,3,7,3,0.3333333333333333,0.6666666666666666,0.0,3,2,2,4,1,1,0,17,100,289,9,256,1,1.0,0.25,272.25,4
350000.0,0,6,0,1,1,1,3.0,0,1,1,0,2,2,0,3,3,3,3,17,0.4597912829957029,3,1,1,1,1,2,2,1,3,3,3,3,2,0.3333333333333333,0.6666666666666666,0.0,7,2,2,4,1,1,0,40,289,1600,9,256,1,1.0,0.25,272.25,4
270000.0,0,6,0,1,1,0,0.0,1,1,2,0,1,1,1,2,3,3,3,14,0.4597912829957029,3,1,1,1,1,2,2,1,3,3,3,2,1,0.3333333333333333,0.6666666666666666,0.0,7,3,1,2,1,1,0,41,196,1681,9,0,1,1.0,0.25,196.0,4
270000.0,0,6,0,1,1,0,0.0,1,1,2,0,1,1,1,2,3,3,3,1,0.0,3,1,1,1,1,2,2,1,3,3,3,1,3,0.3333333333333333,0.6666666666666666,0.0,1,3,1,2,1,1,0,8,1,64,9,0,1,1.0,0.25,196.0,4
270000.0,0,6,0,1,1,0,0.0,1,1,2,0,1,1,1,2,3,3,3,14,0.4597912829957029,3,1,1,1,1,2,2,1,3,3,3,2,2,0.3333333333333333,0.6666666666666666,0.0,7,3,1,2,1,1,0,44,196,1936,9,0,1,1.0,0.25,196.0,4
300000.0,0,7,0,1,1,1,1.0,0,1,1,0,2,2,0,3,3,3,3,13,0.4597912829957029,3,2,1,1,1,3,2,1,3,3,3,4,1,0.0,1.0,0.0,7,3,1,3,1,1,0,60,169,3600,9,0,0,0.5625,0.0,205.44444,4
300000.0,0,7,0,1,1,1,1.0,0,1,1,0,2,2,0,3,3,3,3,15,0.4597912829957029,3,2,1,1,1,3,2,1,3,3,3,7,3,0.0,1.0,0.0,7,3,1,3,1,1,0,29,225,841,9,0,0,0.5625,0.0,205.44444,4
300000.0,0,7,0,1,1,1,1.0,0,1,1,0,2,2,0,3,3,3,3,15,0.4597912829957029,3,2,1,1,1,3,2,1,3,3,3,7,3,0.0,1.0,0.0,7,3,1,3,1,1,0,31,225,961,9,0,0,0.5625,0.0,205.44444,4
250000.0,0,5,0,1,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,11,0.4597912829957029,3,2,1,1,1,2,3,1,2,2,2,7,3,0.0,1.0,0.6666666666666666,4,2,2,2,1,1,0,42,121,1764,9,36,0,1.0,4.0,87.11110699999999,4
250000.0,0,5,0,1,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,6,0.4597912829957029,3,2,1,1,1,2,3,1,2,2,2,3,1,0.0,1.0,0.6666666666666666,2,2,2,2,1,1,0,67,36,4489,9,36,0,1.0,4.0,87.11110699999999,4
250000.0,0,5,0,1,1,0,0.0,0,2,2,0,1,1,0,3,3,3,3,11,0.4597912829957029,3,2,1,1,1,2,3,1,2,2,2,3,2,0.0,1.0,0.6666666666666666,4,2,2,2,1,1,0,70,121,4900,9,36,0,1.0,4.0,87.11110699999999,4
130000.0,0,4,0,1,1,0,0.0,1,2,3,0,2,2,1,4,5,5,5,6,0.4597912829957029,5,3,1,1,1,2,2,1,2,2,2,2,3,0.4,0.6,0.0,2,3,2,4,1,1,0,35,36,1225,25,0,4,6.25,0.44444448,36.0,4
130000.0,0,4,0,1,1,0,0.0,1,2,3,0,2,2,1,4,5,5,5,6,0.0,5,3,1,1,1,2,2,1,2,2,2,7,6,0.4,0.6,0.0,2,3,2,4,1,1,0,13,36,169,25,0,4,6.25,0.44444448,36.0,4
130000.0,0,4,0,1,1,0,0.0,1,2,3,0,2,2,1,4,5,5,5,4,0.4597912829957029,5,3,1,1,1,2,2,1,2,2,2,7,1,0.4,0.6,0.0,1,3,2,4,1,1,0,59,16,3481,25,0,4,6.25,0.44444448,36.0,4
130000.0,0,4,0,1,1,0,0.0,1,2,3,0,2,2,1,4,5,5,5,0,0.4597912829957029,5,3,1,1,1,2,2,1,2,2,2,1,6,0.4,0.6,0.0,0,3,2,4,1,1,0,4,0,16,25,0,4,6.25,0.44444448,36.0,4
130000.0,0,4,0,1,1,0,0.0,1,2,3,0,2,2,1,4,5,5,5,8,0.4597912829957029,5,3,1,1,1,2,2,1,2,2,2,2,5,0.4,0.6,0.0,3,3,2,4,1,1,0,30,64,900,25,0,4,6.25,0.44444448,36.0,4
100000.0,0,3,0,1,1,0,0.0,0,1,1,0,2,2,0,3,3,3,3,8,0.4597912829957029,3,3,1,1,1,2,2,1,3,3,3,5,1,0.6666666666666666,0.3333333333333333,0.0,3,3,2,1,1,1,0,38,64,1444,9,0,4,9.0,4.0,64.0,4
100000.0,0,3,0,1,1,0,0.0,0,1,1,0,2,2,0,3,3,3,3,7,1.0,3,3,1,1,1,2,2,1,3,3,3,7,3,0.6666666666666666,0.3333333333333333,0.0,3,3,2,1,1,1,0,15,49,225,9,0,4,9.0,4.0,64.0,4
100000.0,0,3,0,1,1,0,0.0,0,1,1,0,2,2,0,3,3,3,3,9,1.0,3,3,1,1,1,2,2,1,3,3,3,7,3,0.6666666666666666,0.3333333333333333,0.0,3,3,2,1,1,1,0,17,81,289,9,0,4,9.0,4.0,64.0,4
200000.0,0,5,0,1,1,0,0.0,1,2,3,0,3,3,1,5,6,6,6,7,0.4597912829957029,6,1,1,1,1,2,3,1,3,3,3,7,6,0.3333333333333333,0.6666666666666666,0.16666666666666666,3,3,2,4,1,1,0,18,49,324,36,196,4,4.0,1.0,132.25,4
200000.0,0,5,0,1,1,0,0.0,1,2,3,0,3,3,1,5,6,6,6,14,0.4597912829957029,6,1,1,1,1,2,3,1,3,3,3,3,1,0.3333333333333333,0.6666666666666666,0.16666666666666666,7,3,2,4,1,1,0,67,196,4489,36,196,4,4.0,1.0,132.25,4
200000.0,0,5,0,1,1,0,0.0,1,2,3,0,3,3,1,5,6,6,6,6,0.4597912829957029,6,1,1,1,1,2,3,1,3,3,3,4,3,0.3333333333333333,0.6666666666666666,0.16666666666666666,2,3,2,4,1,1,0,44,36,1936,36,196,4,4.0,1.0,132.25,4
200000.0,0,5,0,1,1,0,0.0,1,2,3,0,3,3,1,5,6,6,6,8,0.4597912829957029,6,1,1,1,1,2,3,1,3,3,3,3,2,0.3333333333333333,0.6666666666666666,0.16666666666666666,3,3,2,4,1,1,0,63,64,3969,36,196,4,4.0,1.0,132.25,4
200000.0,0,5,0,1,1,0,0.0,1,2,3,0,3,3,1,5,6,6,6,11,0.4597912829957029,6,1,1,1,1,2,3,1,3,3,3,7,6,0.3333333333333333,0.6666666666666666,0.16666666666666666,4,3,2,4,1,1,0,20,121,400,36,196,4,4.0,1.0,132.25,4
200000.0,0,5,0,1,1,0,0.0,1,2,3,0,3,3,1,5,6,6,6,0,0.4597912829957029,6,1,1,1,1,2,3,1,3,3,3,1,6,0.3333333333333333,0.6666666666666666,0.16666666666666666,0,3,2,4,1,1,0,1,0,1,36,196,4,4.0,1.0,132.25,4
260000.0,0,5,0,1,1,1,3.0,1,2,3,0,1,1,1,3,4,4,6,1,0.0,4,5,6,1,1,2,3,1,2,3,3,1,3,0.5,0.5,0.0,1,3,2,5,1,1,0,7,1,49,16,100,4,4.0,1.0,90.25,4
260000.0,0,5,0,1,1,1,3.0,1,2,3,0,1,1,1,3,4,4,6,9,0.4597912829957029,4,5,6,1,1,2,3,1,2,3,3,2,2,0.5,0.5,0.0,3,3,2,5,1,1,0,33,81,1089,16,100,4,4.0,1.0,90.25,4
260000.0,0,5,0,1,1,1,3.0,1,2,3,0,1,1,1,3,4,4,6,10,0.4597912829957029,4,5,6,1,1,2,3,1,2,3,3,2,1,0.5,0.5,0.0,3,3,2,5,1,1,0,34,100,1156,16,100,4,4.0,1.0,90.25,4
260000.0,0,5,0,1,1,1,3.0,1,2,3,0,1,1,1,3,4,4,6,6,0.0,4,5,6,1,1,2,3,1,2,3,3,7,3,0.5,0.5,0.0,2,3,2,5,1,1,0,13,36,169,16,100,4,4.0,1.0,90.25,4
564834.0,0,6,0,1,1,0,0.0,2,1,3,0,1,1,2,2,4,4,4,0,0.4597912829957029,4,1,1,1,1,2,3,1,2,2,2,1,3,0.5,0.5,0.0,0,2,2,2,1,1,0,6,0,36,16,0,4,1.7777778999999998,1.0,182.25,4
564834.0,0,6,0,1,1,0,0.0,2,1,3,0,1,1,2,2,4,4,4,12,0.4597912829957029,4,1,1,1,1,2,3,1,2,2,2,3,2,0.5,0.5,0.0,6,2,2,2,1,1,0,38,144,1444,16,0,4,1.7777778999999998,1.0,182.25,4
564834.0,0,6,0,1,1,0,0.0,2,1,3,0,1,1,2,2,4,4,4,0,0.4597912829957029,4,1,1,1,1,2,3,1,2,2,2,1,3,0.5,0.5,0.0,0,2,2,2,1,1,0,5,0,25,16,0,4,1.7777778999999998,1.0,182.25,4
564834.0,0,6,0,1,1,0,0.0,2,1,3,0,1,1,2,2,4,4,4,15,0.4597912829957029,4,1,1,1,1,2,3,1,2,2,2,3,1,0.5,0.5,0.0,7,2,2,2,1,1,0,42,225,1764,16,0,4,1.7777778999999998,1.0,182.25,4
270000.0,0,5,0,1,1,0,0.0,1,0,1,0,1,1,1,1,2,2,2,3,0.0,2,1,1,1,1,2,3,1,2,3,2,7,3,0.5,0.5,0.0,1,2,2,2,1,1,0,10,9,100,4,0,1,0.44444448,1.0,49.0,3
270000.0,0,5,0,1,1,0,0.0,1,0,1,0,1,1,1,1,2,2,2,7,0.4597912829957029,2,1,1,1,1,2,3,1,2,3,2,5,1,0.5,0.5,0.0,3,2,2,2,1,1,0,49,49,2401,4,0,1,0.44444448,1.0,49.0,3
175000.0,0,5,0,1,1,0,0.0,1,1,2,2,1,3,3,2,5,5,5,0,0.4597912829957029,5,2,1,1,1,3,3,1,2,3,1,1,3,0.6,0.4,0.0,0,3,2,2,1,1,0,3,0,9,25,64,9,2.7777777,2.25,90.25,1
175000.0,0,5,0,1,1,0,0.0,1,1,2,2,1,3,3,2,5,5,5,0,0.4597912829957029,5,2,1,1,1,3,3,1,2,3,1,1,3,0.6,0.4,0.0,0,3,2,2,1,1,0,2,0,4,25,64,9,2.7777777,2.25,90.25,1
175000.0,0,5,0,1,1,0,0.0,1,1,2,2,1,3,3,2,5,5,5,0,0.4597912829957029,5,2,1,1,1,3,3,1,2,3,1,1,3,0.6,0.4,0.0,0,3,2,2,1,1,0,6,0,36,25,64,9,2.7777777,2.25,90.25,1
175000.0,0,5,0,1,1,0,0.0,1,1,2,2,1,3,3,2,5,5,5,8,0.4597912829957029,5,2,1,1,1,3,3,1,2,3,1,3,1,0.6,0.4,0.0,3,3,2,2,1,1,0,27,64,729,25,64,9,2.7777777,2.25,90.25,1
175000.0,0,5,0,1,1,0,0.0,1,1,2,2,1,3,3,2,5,5,5,11,0.4597912829957029,5,2,1,1,1,3,3,1,2,3,1,3,2,0.6,0.4,0.0,4,3,2,2,1,1,0,29,121,841,25,64,9,2.7777777,2.25,90.25,1
25310.0,0,1,0,1,0,0,0.0,0,1,1,0,0,0,0,1,1,1,1,6,0.4597912829957029,1,3,2,1,1,3,3,1,2,2,2,5,1,0.0,1.0,0.0,2,3,2,1,1,1,0,23,36,529,1,36,0,1.0,0.0,36.0,4
400000.0,0,8,0,1,1,1,1.0,1,1,2,1,1,2,2,2,4,4,4,0,0.4597912829957029,4,1,1,1,1,2,2,1,3,3,3,1,3,0.5,0.5,0.0,0,3,2,3,1,1,0,2,0,4,16,0,4,1.0,1.0,256.0,4
400000.0,0,8,0,1,1,1,1.0,1,1,2,1,1,2,2,2,4,4,4,15,0.4597912829957029,4,1,1,1,1,2,2,1,3,3,3,3,2,0.5,0.5,0.0,7,3,2,3,1,1,0,33,225,1089,16,0,4,1.0,1.0,256.0,4
400000.0,0,8,0,1,1,1,1.0,1,1,2,1,1,2,2,2,4,4,4,17,0.4597912829957029,4,1,1,1,1,2,2,1,3,3,3,3,1,0.5,0.5,0.0,8,3,2,3,1,1,0,33,289,1089,16,0,4,1.0,1.0,256.0,4
400000.0,0,8,0,1,1,1,1.0,1,1,2,1,1,2,2,2,4,4,4,0,0.4597912829957029,4,1,1,1,1,2,2,1,3,3,3,1,3,0.5,0.5,0.0,0,3,2,3,1,1,0,4,0,16,16,0,4,1.0,1.0,256.0,4
450000.0,0,7,0,1,1,1,1.0,0,1,1,1,1,2,1,2,3,3,3,21,0.4597912829957029,3,1,1,1,1,2,2,1,3,3,3,3,1,0.3333333333333333,0.6666666666666666,0.0,8,2,2,2,1,1,0,46,441,2116,9,441,1,0.5625,0.25,361.0,4
450000.0,0,7,0,1,1,1,1.0,0,1,1,1,1,2,1,2,3,3,3,0,0.4597912829957029,3,1,1,1,1,2,2,1,3,3,3,1,3,0.3333333333333333,0.6666666666666666,0.0,0,2,2,2,1,1,0,3,0,9,9,441,1,0.5625,0.25,361.0,4
450000.0,0,7,0,1,1,1,1.0,0,1,1,1,1,2,1,2,3,3,3,17,0.4597912829957029,3,1,1,1,1,2,2,1,3,3,3,3,2,0.3333333333333333,0.6666666666666666,0.0,7,2,2,2,1,1,0,32,289,1024,9,441,1,0.5625,0.25,361.0,4
300000.0,0,6,0,1,1,0,0.0,0,0,0,0,2,2,0,2,2,2,2,13,0.4597912829957029,2,1,1,1,1,3,2,1,3,3,2,7,9,0.0,1.0,0.0,7,3,2,2,1,1,0,20,169,400,4,0,0,0.44444448,0.0,196.0,4
